Handle,Title,Type,Tags,Option1 Name,Option1 Value
chunky-gold-bangle-bracelets-for-women-dainty-14k-gold-plated-big-stackable-bangles-set-trendy-statement-cuff-bracelet-stack-fashion-jewelry-gifts,"Chunky Gold Bangle Bracelets for Women, Dainty 14k Gold Plated Big Stackable Bangles Set, Trendy Statement Cuff Bracelet Stack Fashion Jewelry Gifts",Jewelry,jewelry,Title,Default Title
womengifts-layered-gold-necklaces-for-women-14k-gold-sterling-silver-plated-dainty-pendant-necklace-set-non-tarnish-chunky-stackable-cuban-chain-choker-trendy-birthstone-vacation-jewelry-gift,"WomenGifts Layered Gold Necklaces for Women, 14K Gold Sterling Silver Plated Dainty Pendant Necklace Set Non Tarnish, Chunky Stackable Cuban Chain Choker, Trendy Birthstone Vacation Jewelry Gift",Jewelry,jewelry,Title,Default Title
freekiss-3-pairs-gold-hoop-earrings-set-dainty-stud-earrings-trendy-small-14k-gold-plated-hypoallergenic-dangle-cartilage-huggie-hoop-earrings-for-women-gold-jewelry-for-women-gifts,Freekiss 3 Pairs Gold Hoop Earrings Set: Dainty Stud Earrings Trendy Small 14K Gold Plated Hypoallergenic Dangle Cartilage Huggie Hoop Earrings for Women Gold Jewelry for Women Gifts,Jewelry,jewelry,Title,Default Title
gold-ankle-bracelets-for-women-waterproof-dainty-gold-anklets-trendy-layered-14k-gold-silver-plated-stackable-chunky-cuban-link-chian-anklet-bracelet-set-for-women-non-tarnish-beach-jewelry-gift,Gold Ankle Bracelets for Women Waterproof - Dainty Gold Anklets Trendy Layered 14K Gold/Silver Plated Stackable Chunky Cuban Link Chian Anklet Bracelet Set for Women Non Tarnish Beach Jewelry Gift,Jewelry,jewelry,Title,Default Title
3pairs-gold-hoop-earrings-set-for-women-trendy-chunky-huggie-dainty-earring-jewelry-for-women-teens,3Pairs Gold Hoop Earrings Set for Women Trendy Chunky Huggie Dainty Earring Jewelry for Women Teens,Jewelry,jewelry,Title,Default Title
gokeey-ankle-bracelets-for-women-waterproof-14k-gold-plated-jewelry-set-layered-cuban-figaro-link-chain-anklets-set-gold-anklets-summer-boho-beach-jewelry-gift-adjustable-size,"Gokeey Ankle Bracelets for Women Waterproof, 14k Gold Plated Jewelry Set Layered Cuban Figaro Link Chain Anklets Set Gold Anklets Summer Boho Beach Jewelry Gift Adjustable Size",Jewelry,jewelry,Title,Default Title
non-tarnish-gold-chunky-rings-for-women-14k-gold-plated-statement-dome-rings-stacking-silver-adjustable-mens-eternity-wedding-band-mixed-metal-jewelry-size-3-13,"Non Tarnish Gold Chunky Rings for Women, 14K Gold Plated Statement Dome Rings Stacking Silver, Adjustable Mens Eternity Wedding Band Mixed Metal Jewelry Size 3-13",Jewelry,jewelry,Title,Default Title
gacimy-gold-hoop-earrings-for-women-14k-real-gold-plated-hoops-with-925-sterling-silver-post,Gacimy Gold Hoop Earrings for Women 14K Real Gold Plated Hoops with 925 Sterling Silver Post,Jewelry,jewelry,Title,Default Title
pavoi-14k-gold-plated-cubic-zirconia-cross-necklace-for-women-cross-faith-pendant-necklaces,PAVOI 14K Gold Plated Cubic Zirconia Cross Necklace for Women | Cross Faith Pendant Necklaces,Jewelry,jewelry,Title,Default Title
fesciory-leather-wrap-bracelets-for-women-boho-leopard-multi-layer-crystal-beads-cuff-bracelet-jewelry,"Fesciory Leather Wrap Bracelets for Women, Boho Leopard Multi-Layer Crystal Beads Cuff Bracelet Jewelry",Jewelry,jewelry,Title,Default Title
jewlpire-18k-gold-plated-925-sterling-silver-chain-necklace-for-women-1-1mm-cable-chains-necklace-thin-dainty-sturdy-womens-chain-necklaces-14-16-17-18-20-22-24-inches,"Jewlpire 18k Gold Plated 925 Sterling Silver Chain Necklace for Women, 1.1mm Cable Chains Necklace Thin & Dainty & Sturdy Women's Chain Necklaces, 14/16/17/18/20/22/24 Inches",Jewelry,jewelry,Title,Default Title
gacimy-gold-hoop-earrings-for-women-14k-gold-plated-925-sterling-silver-post-hypoallergenic-earrings-hoops-for-women,"Gacimy Gold Hoop Earrings for Women 14K Gold Plated, 925 Sterling Silver Post Hypoallergenic Earrings Hoops for Women",Jewelry,jewelry,Title,Default Title
if-you-gold-ankle-bracelets-for-women-14k-gold-plated-waterproof-cuban-link-chain-anklets-set-layered-anklet-bracelets-for-women-beach-gift-adjustable-size-5pcs,"iF YOU Gold Ankle Bracelets for Women, 14k Gold Plated Waterproof Cuban Link Chain Anklets Set, Layered Anklet Bracelets for Women Beach Gift Adjustable Size 5pcs",Jewelry,jewelry,Title,Default Title
4-pairs-silver-gold-hoop-earrings-for-women-14k-gold-plated-hoop-earrings-set-hypoallergenic-earring-lightweight-dangle-earrings-set,4 Pairs Silver Gold Hoop Earrings for Women | 14K Gold Plated Hoop Earrings Set Hypoallergenic Earring Lightweight Dangle Earrings Set,Jewelry,jewelry,Title,Default Title
qceasiy-shell-ankle-bracelet-set-for-women-gold-plated-boho-bead-adjustable-anklet-hawaiian-beach-seashell-pearl-heart-starfish-conch-foot-jewelry-gifts,"Qceasiy Shell Ankle Bracelet Set for Women, Gold Plated Boho Bead Adjustable Anklet, Hawaiian Beach Seashell Pearl Heart Starfish Conch Foot Jewelry Gifts",Jewelry,jewelry,Title,Default Title
lilie-white-resin-chunky-beaded-necklace-for-women-minimalistic-modern-statement-necklace-jewelry-accessories,LILIE&WHITE Resin Chunky Beaded Necklace for Women Minimalistic Modern Statement Necklace Jewelry Accessories,Jewelry,jewelry,Title,Default Title
cueziy-dainty-silver-gold-necklaces-for-women-cute-station-choker-simulated-diamond-necklace-simple-layering-cz-necklace-trendy-jewelry-gifts,CUEZIY Dainty Silver Gold Necklaces for Women Cute Station Choker Simulated Diamond Necklace Simple Layering CZ Necklace Trendy Jewelry Gifts,Jewelry,jewelry,Title,Default Title
dangle-flower-earrings-for-women-statement-trendy-hoop-earring-floral-drop-earrings-jewelry,Dangle Flower Earrings for Women Statement Trendy Hoop Earring Floral Drop Earrings Jewelry,Jewelry,jewelry,Title,Default Title
3pcs-14k-gold-plated-hand-chain-bracelets-for-women-stack-bracelets-set-adjustable-trendy-dainty-ring-bracelet-hand-chain,"3PCS 14K Gold-Plated Hand Chain Bracelets for Women, Stack Bracelets Set Adjustable, Trendy Dainty Ring Bracelet Hand Chain",Jewelry,jewelry,Title,Default Title
2-3-pcs-gold-anklets-for-women-waterproof-cuban-link-anklet-beaded-bracelets-stackable-bracelets-14k-gold-plated-custom-jewelry-gifts-non-tarnish-lightweight,2/3 PCS Gold Anklets for Women Waterproof Cuban Link Anklet Beaded Bracelets Stackable Bracelets 14K Gold Plated Custom Jewelry Gifts Non Tarnish Lightweight,Jewelry,jewelry,Title,Default Title
holidayqbee-beaded-necklace-for-women-boho-bead-gemstone-chunky-necklace-big-bead-necklace-fashion-trendy-summer-necklaces-jewelry-gifts,HolidayQbee Beaded necklace for Women Boho Bead Gemstone Chunky Necklace Big Bead Necklace Fashion Trendy Summer Necklaces Jewelry Gifts,Jewelry,jewelry,Title,Default Title
pavoi-14k-gold-plated-3mm-cubic-zirconia-classic-tennis-bracelet-gold-bracelets-for-women,PAVOI 14K Gold Plated 3mm Cubic Zirconia Classic Tennis Bracelet | Gold Bracelets for Women,Jewelry,jewelry,Title,Default Title
pavoi-gold-plated-solid-925-sterling-silver-cz-simulated-diamond-stackable-ring-eternity-bands-for-women,PAVOI Gold Plated Solid 925 Sterling Silver CZ Simulated Diamond Stackable Ring Eternity Bands for Women,Jewelry,jewelry,Title,Default Title
kendra-scott-elisa-pendant-necklace-for-women-fashion-jewelry-14k-gold-plated,"Kendra Scott Elisa Pendant Necklace for Women, Fashion Jewelry, 14k Gold-Plated",Jewelry,jewelry,Title,Default Title
boruo-toe-rings-925-sterling-silver-band-ring-waterproof-14k-gold-plated-toe-rings-sterling-silver-rings-for-women-2-mm-3mm-4mm,"BORUO Toe Rings - 925 Sterling Silver Band Ring - Waterproof 14K Gold Plated Toe Rings - Sterling Silver Rings for Women, 2 mm, 3mm, 4mm",Jewelry,jewelry,Title,Default Title
sriomu-natural-healing-stone-fishhoop-dangle-drop-earrings-statement-gold-silver-earrings,Sriomu Natural Healing Stone Fishhoop Dangle Drop Earrings Statement Gold silver earrings,Jewelry,jewelry,Title,Default Title
hayoso-18k-gold-plated-halo-stud-earrings-925-sterling-silver-cubic-zirconia-stud-earrings-round-square-diamonique-stud-earrings-set-for-women-men,Hayoso 18K Gold Plated Halo Stud Earrings 925 Sterling Silver Cubic Zirconia Stud Earrings Round Square Diamonique Stud Earrings Set for Women Men,Jewelry,jewelry,Title,Default Title
pdwznba-love-friendship-ring-18k-gold-plated-stainless-steel-promise-ring-wedding-band-jewelry-birthday-gifts-for-women,PDWZNBA Love Friendship Ring 18K Gold-Plated Stainless Steel Promise Ring Wedding Band Jewelry Birthday Gifts for Women,Jewelry,jewelry,Title,Default Title
july-4th-independence-day-earrings-american-flag-five-pointed-star-earrings-dangle-earrings-for-women-independence-day-gifts,July 4th Independence Day Earrings American Flag Five-pointed Star Earrings Dangle Earrings for Women Independence Day Gifts,Jewelry,jewelry,Title,Default Title
